Accession,Technology
GPL26105,high-throughput sequencing
GPL26107,high-throughput sequencing
GPL26108,high-throughput sequencing
GPL26109,high-throughput sequencing
GPL26110,high-throughput sequencing
GPL26111,high-throughput sequencing
GPL26112,high-throughput sequencing
GPL26113,high-throughput sequencing
GPL26114,high-throughput sequencing
GPL26115,high-throughput sequencing
GPL26100,high-throughput sequencing
GPL26091,high-throughput sequencing
GPL26093,high-throughput sequencing
GPL26094,high-throughput sequencing
GPL26097,high-throughput sequencing
GPL26099,high-throughput sequencing
GPL26081,in situ oligonucleotide
GPL26086,in situ oligonucleotide
GPL26088,in situ oligonucleotide
GPL26078,in situ oligonucleotide
GPL26079,high-throughput sequencing
GPL26080,high-throughput sequencing
GPL26083,high-throughput sequencing
GPL26084,high-throughput sequencing
GPL26077,high-throughput sequencing
GPL26071,RT-PCR
GPL26072,RT-PCR
GPL26067,in situ oligonucleotide
GPL26069,high-throughput sequencing
GPL26070,in situ oligonucleotide
GPL26074,high-throughput sequencing
GPL26076,high-throughput sequencing
GPL26040,oligonucleotide beads
GPL26057,in situ oligonucleotide
GPL26058,in situ oligonucleotide
GPL26059,in situ oligonucleotide
GPL26061,high-throughput sequencing
GPL26062,high-throughput sequencing
GPL26064,high-throughput sequencing
GPL26065,high-throughput sequencing
GPL26066,high-throughput sequencing
GPL26068,high-throughput sequencing
GPL26050,high-throughput sequencing
GPL26051,high-throughput sequencing
GPL26053,high-throughput sequencing
GPL26054,high-throughput sequencing
GPL26055,high-throughput sequencing
GPL26056,high-throughput sequencing
GPL26060,high-throughput sequencing
GPL26042,high-throughput sequencing
GPL26044,high-throughput sequencing
GPL26046,high-throughput sequencing
GPL26039,high-throughput sequencing
GPL26041,high-throughput sequencing
GPL26038,high-throughput sequencing
GPL26027,spotted peptide or protein
GPL26037,high-throughput sequencing
GPL26030,high-throughput sequencing
GPL26032,high-throughput sequencing
GPL26033,high-throughput sequencing
GPL26034,high-throughput sequencing
GPL26035,high-throughput sequencing
GPL26036,high-throughput sequencing
GPL26025,high-throughput sequencing
GPL26012,high-throughput sequencing
GPL26013,high-throughput sequencing
GPL26016,high-throughput sequencing
GPL26017,high-throughput sequencing
GPL26018,high-throughput sequencing
GPL26019,high-throughput sequencing
GPL26020,high-throughput sequencing
GPL26021,high-throughput sequencing
GPL26022,high-throughput sequencing
GPL26023,high-throughput sequencing
GPL26011,high-throughput sequencing
GPL24842,in situ oligonucleotide
GPL26008,high-throughput sequencing
GPL26009,high-throughput sequencing
GPL26010,high-throughput sequencing
GPL21790,other
GPL21791,other
GPL25998,other
GPL26001,high-throughput sequencing
GPL26005,high-throughput sequencing
GPL24696,spotted DNA/cDNA
GPL25997,high-throughput sequencing
GPL25999,high-throughput sequencing
GPL26000,high-throughput sequencing
GPL24208,in situ oligonucleotide
GPL24614,spotted DNA/cDNA
GPL24985,in situ oligonucleotide
GPL25507,other
GPL25508,RT-PCR
GPL25573,RT-PCR
GPL25964,in situ oligonucleotide
GPL21364,in situ oligonucleotide
GPL24575,in situ oligonucleotide
GPL25024,spotted peptide or protein
GPL24311,in situ oligonucleotide
GPL24444,in situ oligonucleotide
GPL24445,in situ oligonucleotide
GPL25994,high-throughput sequencing
GPL25995,high-throughput sequencing
GPL25992,high-throughput sequencing
GPL25991,high-throughput sequencing
GPL23391,oligonucleotide beads
GPL24967,in situ oligonucleotide
GPL25012,in situ oligonucleotide
GPL25617,in situ oligonucleotide
GPL25985,high-throughput sequencing
GPL25987,high-throughput sequencing
GPL25500,in situ oligonucleotide
GPL25984,high-throughput sequencing
GPL24626,in situ oligonucleotide
GPL25982,high-throughput sequencing
GPL25983,high-throughput sequencing
GPL23111,in situ oligonucleotide
GPL25979,high-throughput sequencing
GPL25700,RT-PCR
GPL25968,in situ oligonucleotide
GPL25972,high-throughput sequencing
GPL25973,high-throughput sequencing
GPL25974,high-throughput sequencing
GPL25976,high-throughput sequencing
GPL25977,high-throughput sequencing
GPL23599,spotted oligonucleotide
GPL25961,in situ oligonucleotide
GPL25969,high-throughput sequencing
GPL25970,high-throughput sequencing
GPL25958,high-throughput sequencing
GPL25959,high-throughput sequencing
GPL25960,high-throughput sequencing
GPL25962,high-throughput sequencing
GPL25965,high-throughput sequencing
GPL25966,high-throughput sequencing
GPL25940,in situ oligonucleotide
GPL25941,in situ oligonucleotide
GPL25947,high-throughput sequencing
GPL25948,in situ oligonucleotide
GPL25949,high-throughput sequencing
GPL25950,high-throughput sequencing
GPL25951,high-throughput sequencing
GPL25952,high-throughput sequencing
GPL25953,in situ oligonucleotide
GPL25957,high-throughput sequencing
GPL24314,oligonucleotide beads
GPL25943,high-throughput sequencing
GPL25944,high-throughput sequencing
GPL25945,high-throughput sequencing
GPL25946,high-throughput sequencing
GPL24170,in situ oligonucleotide
GPL25934,spotted DNA/cDNA
GPL25935,high-throughput sequencing
GPL25937,high-throughput sequencing
GPL25938,high-throughput sequencing
GPL25939,high-throughput sequencing
GPL25924,oligonucleotide beads
GPL25931,high-throughput sequencing
GPL25925,high-throughput sequencing
GPL25926,high-throughput sequencing
GPL25927,high-throughput sequencing
GPL25928,high-throughput sequencing
GPL25714,other
GPL25915,in situ oligonucleotide
GPL25916,in situ oligonucleotide
GPL25917,high-throughput sequencing
GPL25920,high-throughput sequencing
GPL25921,high-throughput sequencing
GPL25922,high-throughput sequencing
GPL24773,in situ oligonucleotide
GPL25911,high-throughput sequencing
GPL25912,high-throughput sequencing
GPL25914,high-throughput sequencing
GPL25898,high-throughput sequencing
GPL25899,high-throughput sequencing
GPL25900,high-throughput sequencing
GPL25901,high-throughput sequencing
GPL25902,high-throughput sequencing
GPL25903,high-throughput sequencing
GPL25904,high-throughput sequencing
GPL25905,high-throughput sequencing
GPL25906,high-throughput sequencing
GPL25907,high-throughput sequencing
GPL25909,high-throughput sequencing
GPL25897,high-throughput sequencing
GPL25881,RT-PCR
GPL25892,high-throughput sequencing
GPL25893,high-throughput sequencing
GPL25894,high-throughput sequencing
GPL25895,high-throughput sequencing
GPL25879,high-throughput sequencing
GPL25880,high-throughput sequencing
GPL25882,high-throughput sequencing
GPL25883,high-throughput sequencing
GPL25884,high-throughput sequencing
GPL25885,high-throughput sequencing
GPL25886,high-throughput sequencing
GPL25887,high-throughput sequencing
GPL25888,high-throughput sequencing
GPL25889,high-throughput sequencing
GPL25890,high-throughput sequencing
GPL25891,high-throughput sequencing
GPL22794,in situ oligonucleotide
GPL22823,in situ oligonucleotide
GPL23003,spotted oligonucleotide
GPL25003,oligonucleotide beads
GPL25878,spotted peptide or protein
GPL21197,in situ oligonucleotide
GPL25866,spotted oligonucleotide
GPL25869,high-throughput sequencing
GPL25870,high-throughput sequencing
GPL25874,high-throughput sequencing
GPL25875,high-throughput sequencing
GPL25876,high-throughput sequencing
GPL25877,high-throughput sequencing
GPL25841,RT-PCR
GPL25865,spotted oligonucleotide
GPL25867,high-throughput sequencing
GPL25868,high-throughput sequencing
GPL22725,in situ oligonucleotide
GPL25853,in situ oligonucleotide
GPL25855,high-throughput sequencing
GPL25856,high-throughput sequencing
GPL25863,high-throughput sequencing
GPL25848,in situ oligonucleotide
GPL25851,high-throughput sequencing
GPL25852,high-throughput sequencing
GPL25845,high-throughput sequencing
GPL25847,high-throughput sequencing
GPL25850,high-throughput sequencing
GPL25844,high-throughput sequencing
GPL25843,high-throughput sequencing
GPL25839,high-throughput sequencing
GPL25840,high-throughput sequencing
GPL25842,high-throughput sequencing
GPL25834,RT-PCR
GPL23507,other
GPL25836,high-throughput sequencing
GPL25837,high-throughput sequencing
GPL24373,in situ oligonucleotide
GPL24378,in situ oligonucleotide
GPL25309,spotted oligonucleotide
GPL25832,high-throughput sequencing
GPL25833,high-throughput sequencing
GPL25828,high-throughput sequencing
GPL25829,high-throughput sequencing
GPL25830,high-throughput sequencing
GPL23952,in situ oligonucleotide
GPL25825,high-throughput sequencing
GPL25200,in situ oligonucleotide
GPL25816,in situ oligonucleotide
GPL25817,high-throughput sequencing
GPL25818,high-throughput sequencing
GPL25820,high-throughput sequencing
GPL25821,high-throughput sequencing
GPL25823,high-throughput sequencing
GPL25797,in situ oligonucleotide
GPL25808,high-throughput sequencing
GPL25809,high-throughput sequencing
GPL25810,high-throughput sequencing
GPL25811,high-throughput sequencing
GPL25812,high-throughput sequencing
GPL25813,high-throughput sequencing
GPL25814,high-throughput sequencing
GPL25799,high-throughput sequencing
GPL25803,high-throughput sequencing
GPL25804,high-throughput sequencing
GPL25805,high-throughput sequencing
GPL25789,other
GPL25795,in situ oligonucleotide
GPL24252,oligonucleotide beads
GPL24267,in situ oligonucleotide
GPL25009,in situ oligonucleotide
GPL25790,high-throughput sequencing
GPL25791,high-throughput sequencing
GPL25792,high-throughput sequencing
GPL25794,high-throughput sequencing
GPL25783,high-throughput sequencing
GPL25787,high-throughput sequencing
GPL25775,high-throughput sequencing
GPL25778,high-throughput sequencing
GPL25780,high-throughput sequencing
GPL25781,high-throughput sequencing
GPL25782,high-throughput sequencing
GPL24440,spotted oligonucleotide
GPL25769,high-throughput sequencing
GPL25773,high-throughput sequencing
GPL25774,high-throughput sequencing
GPL25763,high-throughput sequencing
GPL25766,high-throughput sequencing
GPL25767,high-throughput sequencing
GPL25768,high-throughput sequencing
GPL22732,in situ oligonucleotide
GPL25758,in situ oligonucleotide
GPL25759,in situ oligonucleotide
GPL25761,high-throughput sequencing
GPL25762,high-throughput sequencing
GPL25635,spotted oligonucleotide
GPL25688,in situ oligonucleotide
GPL25760,high-throughput sequencing
GPL25747,in situ oligonucleotide
GPL25754,high-throughput sequencing
GPL25756,high-throughput sequencing
GPL25757,high-throughput sequencing
GPL25742,high-throughput sequencing
GPL25743,high-throughput sequencing
GPL25744,high-throughput sequencing
GPL25745,high-throughput sequencing
GPL25746,high-throughput sequencing
GPL25748,high-throughput sequencing
GPL25749,high-throughput sequencing
GPL25750,high-throughput sequencing
GPL25751,high-throughput sequencing
GPL25752,high-throughput sequencing
GPL25733,high-throughput sequencing
GPL25734,in situ oligonucleotide
GPL25735,high-throughput sequencing
GPL25736,high-throughput sequencing
GPL25737,high-throughput sequencing
GPL25738,high-throughput sequencing
GPL25739,high-throughput sequencing
GPL25740,in situ oligonucleotide
GPL25741,in situ oligonucleotide
GPL25720,RT-PCR
GPL25722,RT-PCR
GPL25727,high-throughput sequencing
GPL25728,high-throughput sequencing
GPL25729,high-throughput sequencing
GPL25730,high-throughput sequencing
GPL25731,high-throughput sequencing
GPL25732,high-throughput sequencing
GPL25721,high-throughput sequencing
GPL25723,high-throughput sequencing
GPL25724,high-throughput sequencing
GPL25725,high-throughput sequencing
GPL25726,high-throughput sequencing
GPL25719,high-throughput sequencing
GPL25715,high-throughput sequencing
GPL25702,high-throughput sequencing
GPL25704,high-throughput sequencing
GPL25712,high-throughput sequencing
GPL25713,high-throughput sequencing
GPL25696,RT-PCR
GPL25690,spotted oligonucleotide
GPL25697,high-throughput sequencing
GPL25698,high-throughput sequencing
GPL25699,high-throughput sequencing
GPL25629,in situ oligonucleotide
GPL25684,in situ oligonucleotide
GPL25689,high-throughput sequencing
GPL25691,high-throughput sequencing
GPL25692,high-throughput sequencing
GPL25694,high-throughput sequencing
GPL25695,high-throughput sequencing
GPL25685,in situ oligonucleotide
GPL25687,high-throughput sequencing
GPL24315,in situ oligonucleotide
GPL25678,high-throughput sequencing
GPL25679,high-throughput sequencing
GPL25680,high-throughput sequencing
GPL25677,high-throughput sequencing
GPL25672,RT-PCR
GPL25663,in situ oligonucleotide
GPL25661,high-throughput sequencing
GPL25662,high-throughput sequencing
GPL25664,high-throughput sequencing
GPL25667,high-throughput sequencing
GPL25668,high-throughput sequencing
GPL25650,in situ oligonucleotide
GPL25655,high-throughput sequencing
GPL25660,high-throughput sequencing
GPL22792,in situ oligonucleotide
GPL24783,spotted oligonucleotide
GPL25649,high-throughput sequencing
GPL25651,high-throughput sequencing
GPL25652,other
GPL25653,high-throughput sequencing
GPL25647,high-throughput sequencing
GPL25648,high-throughput sequencing
GPL25646,high-throughput sequencing
GPL25243,other
GPL25640,high-throughput sequencing
GPL25643,high-throughput sequencing
GPL25644,high-throughput sequencing
GPL25645,high-throughput sequencing
GPL22549,in situ oligonucleotide
GPL25636,in situ oligonucleotide
GPL25637,high-throughput sequencing
GPL25638,high-throughput sequencing
GPL25639,high-throughput sequencing
GPL25630,in situ oligonucleotide
GPL25632,high-throughput sequencing
GPL25633,high-throughput sequencing
GPL25634,high-throughput sequencing
GPL23823,in situ oligonucleotide
GPL25556,in situ oligonucleotide
GPL22654,in situ oligonucleotide
GPL24910,in situ oligonucleotide
GPL25481,in situ oligonucleotide
GPL25627,high-throughput sequencing
GPL22505,RT-PCR
GPL22506,RT-PCR
GPL22507,RT-PCR
GPL22508,RT-PCR
GPL24237,in situ oligonucleotide
GPL25622,spotted oligonucleotide
GPL25623,high-throughput sequencing
GPL25625,high-throughput sequencing
GPL25612,spotted oligonucleotide
GPL25619,high-throughput sequencing
GPL25620,high-throughput sequencing
GPL25610,high-throughput sequencing
GPL25611,high-throughput sequencing
GPL25614,high-throughput sequencing
GPL25615,high-throughput sequencing
GPL25616,high-throughput sequencing
GPL25604,high-throughput sequencing
GPL25605,high-throughput sequencing
GPL25606,in situ oligonucleotide
GPL25602,high-throughput sequencing
GPL25598,high-throughput sequencing
GPL25586,spotted oligonucleotide
GPL25591,in situ oligonucleotide
GPL25594,high-throughput sequencing
GPL25596,high-throughput sequencing
GPL25587,high-throughput sequencing
GPL25588,high-throughput sequencing
GPL25589,high-throughput sequencing
GPL25590,high-throughput sequencing
GPL25585,high-throughput sequencing
GPL25580,high-throughput sequencing
GPL25581,high-throughput sequencing
GPL25582,high-throughput sequencing
GPL25583,high-throughput sequencing
GPL25584,high-throughput sequencing
GPL25530,in situ oligonucleotide
GPL25578,high-throughput sequencing
GPL25579,high-throughput sequencing
GPL25575,high-throughput sequencing
GPL25576,high-throughput sequencing
GPL25577,in situ oligonucleotide
